gas_raw,temp_c,flame,gas_avg,temp_avg,dGas,dTemp,label_name,water level
240,18,0,241.4,19.9,4.2,0,NORMAL,186
219,18,0,219.2,19.3,-22.2,-0.62,NORMAL,265
153,24.1,0,220,20.5,0.8,1.22,NORMAL,143
210,20.1,0,220,20.4,0,-0.08,NORMAL,261
163,18,0,197,19.6,-23,-0.8,NORMAL,265
205,25.1,0,190,21.1,-7,1.42,NORMAL,103
312,22.4,0,208.6,21.9,18.6,0.88,NORMAL,183
261,18.5,0,230.2,20.8,21.6,-1.12,NORMAL,294
274,18,0,243,20.4,12.8,-0.42,NORMAL,213
201,24.8,0,250.6,21.8,7.6,1.36,NORMAL,218
357,22.2,0,281,21.2,30.4,-0.58,NORMAL,116
172,30.7,0,253,22.8,-28,1.66,NORMAL,278
212,23,0,243.2,23.7,-9.8,0.9,NORMAL,141
112,22.6,0,210.8,24.7,-32.4,0.92,NORMAL,201
210,20.3,0,212.6,23.8,1.8,-0.9,NORMAL,227
374,23.6,0,216,24,3.4,0.28,NORMAL,129
202,22.4,0,222,22.4,6,-1.66,NORMAL,122
357,24.7,0,251,22.7,29,0.34,NORMAL,217
224,18.1,0,273.4,21.8,22.4,-0.9,NORMAL,109
257,18.2,0,282.8,21.4,9.4,-0.42,NORMAL,200
231,18.3,0,254.2,20.3,-28.6,-1.06,NORMAL,245
147,23.1,0,243.2,20.5,-11,0.14,NORMAL,126
298,26.1,0,231.4,20.8,-11.8,0.28,NORMAL,289
377,18.2,0,262,20.8,30.6,0.02,NORMAL,259
144,18.7,0,239.4,20.9,-22.6,0.1,NORMAL,230
280,21.4,0,249.2,21.5,9.8,0.62,NORMAL,174
161,18.5,0,252,20.6,2.8,-0.92,NORMAL,270
290,22.8,0,250.4,19.9,-1.6,-0.66,NORMAL,253
301,18,0,235.2,19.9,-15.2,-0.04,NORMAL,247
254,18,0,257.2,19.7,22,-0.14,NORMAL,117
315,18,0,264.2,19.1,7,-0.68,NORMAL,233
330,18,0,298,19,33.8,-0.1,NORMAL,226
277,18,0,295.4,18,-2.6,-0.96,NORMAL,128
286,18,0,292.4,18,-3,0,NORMAL,263
209,18,0,283.4,18,-9,0,NORMAL,276
353,22.6,0,291,18.9,7.6,0.92,NORMAL,205
127,18,0,250.4,18.9,-40.6,0,NORMAL,164
245,18,0,244,18.9,-6.4,0,NORMAL,201
311,18,0,249,18.9,5,0,NORMAL,142
172,21.3,0,241.6,19.6,-7.4,0.66,NORMAL,237
289,18,0,228.8,18.7,-12.8,-0.92,NORMAL,148
201,18,0,243.6,18.7,14.8,0,NORMAL,127
256,20.1,0,245.8,19.1,2.2,0.42,NORMAL,148
265,18,0,236.6,19.1,-9.2,0,NORMAL,169
248,20.8,0,251.8,19,15.2,-0.1,NORMAL,275
160,18,0,226,19,-25.8,0,NORMAL,262
245,19.8,0,234.8,19.3,8.8,0.36,NORMAL,248
323,18,0,248.2,18.9,13.4,-0.42,NORMAL,115
101,18,0,215.4,18.9,-32.8,0,NORMAL,253
299,18,0,225.6,18.4,10.2,-0.56,NORMAL,189
239,18,0,241.4,18.4,15.8,0,NORMAL,291
294,18,0,251.2,18,9.8,-0.36,NORMAL,127
282,19.2,0,243,18.2,-8.2,0.24,NORMAL,218
243,18,0,271.4,18.2,28.4,0,NORMAL,215
172,18,0,246,18.2,-25.4,0,NORMAL,171
273,18,0,252.8,18.2,6.8,0,NORMAL,269
178,20.5,0,229.6,18.7,-23.2,0.5,NORMAL,153
225,18,0,218.2,18.5,-11.4,-0.24,NORMAL,295
145,18,0,198.6,18.5,-19.6,0,NORMAL,102
263,18,0,216.8,18.5,18.2,0,NORMAL,207
262,22.8,0,214.6,19.5,-2.2,0.96,NORMAL,201
121,18,0,203.2,19,-11.4,-0.5,NORMAL,144
297,19.5,0,217.6,19.3,14.4,0.3,NORMAL,106
255,18,0,239.6,19.3,22,0,NORMAL,259
282,18,0,243.4,19.3,3.8,0,NORMAL,296
105,18.2,0,212,18.3,-31.4,-0.92,NORMAL,221
136,18,0,215,18.3,3,0,NORMAL,206
272,18.5,0,210,18.1,-5,-0.2,NORMAL,112
155,18,0,190,18.1,-20,0,NORMAL,105
198,18,0,173.2,18.1,-16.8,0,NORMAL,201
269,18,0,206,18.1,32.8,-0.04,NORMAL,146
135,18.5,0,205.8,18.2,-0.2,0.1,NORMAL,187
277,18.5,0,206.8,18.2,1,0,NORMAL,257
193,18,0,214.4,18.2,7.6,0,NORMAL,113
189,18,0,212.6,18.2,-1.8,0,NORMAL,174
243,18.9,0,207.4,18.4,-5.2,0.18,NORMAL,120
322,20.2,0,244.8,18.7,37.4,0.34,NORMAL,297
143,18,0,218,18.6,-26.8,-0.1,NORMAL,264
155,18,0,210.4,18.6,-7.6,0,NORMAL,297
362,18,0,245,18.6,34.6,0,NORMAL,198
380,18.8,0,272.4,18.6,27.4,-0.02,NORMAL,296
279,22,0,263.8,19,-8.6,0.36,NORMAL,201
217,18,0,278.6,19,14.8,0,NORMAL,142
199,18,0,287.4,19,8.8,0,NORMAL,223
280,18,0,271,19,-16.4,0,NORMAL,142
268,18,0,248.6,18.8,-22.4,-0.16,NORMAL,185
182,18,0,229.2,18,-19.4,-0.8,NORMAL,243
92,18,0,204.2,18,-25,0,NORMAL,166
158,22.3,0,196,18.9,-8.2,0.86,NORMAL,162
371,21.7,0,214.2,19.6,18.2,0.74,NORMAL,104
196,19.3,0,199.8,19.9,-14.4,0.26,NORMAL,279
247,18,0,212.8,19.9,13,0,NORMAL,271
238,19.8,0,242,20.2,29.2,0.36,NORMAL,190
322,18.5,0,274.8,19.5,32.8,-0.76,NORMAL,284
152,18,0,231,18.7,-43.8,-0.74,NORMAL,111
125,20.5,0,216.8,19,-14.2,0.24,NORMAL,263
153,18,0,198,19,-18.8,0,NORMAL,184
225,18,0,195.4,18.6,-2.6,-0.36,NORMAL,118
298,18,0,190.6,18.5,-4.8,-0.1,NORMAL,203
226,18,0,205.4,18.5,14.8,0,NORMAL,275
211,18,0,222.6,18,17.2,-0.5,NORMAL,242
308,18,0,253.6,18,31,0,NORMAL,299
193,18,0,247.2,18,-6.4,0,NORMAL,249
273,18,0,242.2,18,-5,0,NORMAL,242
265,21.4,0,250,18.7,7.8,0.68,NORMAL,283
252,21.4,0,258.2,19.4,8.2,0.68,NORMAL,258
324,19.9,0,261.4,19.7,3.2,0.38,NORMAL,145
179,18,0,258.6,19.7,-2.8,0,NORMAL,169
344,20.1,0,272.8,20.2,14.2,0.42,NORMAL,123
190,18,0,257.8,19.5,-15,-0.68,NORMAL,129
302,18,0,267.8,18.8,10,-0.68,NORMAL,133
255,18,0,254,18.4,-13.8,-0.38,NORMAL,163
313,18,0,280.8,18.4,26.8,0,NORMAL,127
234,18,0,258.8,18,-22,-0.42,NORMAL,143
167,18,0,254.2,18,-4.6,0,NORMAL,215
155,18,0,224.8,18,-29.4,0,NORMAL,222
193,18,0,212.4,18,-12.4,0,NORMAL,115
328,21.5,0,215.4,18.7,3,0.7,NORMAL,165
143,18,0,197.2,18.7,-18.2,0,NORMAL,233
342,18,0,232.2,18.7,35,0,NORMAL,163
251,18,0,251.4,18.7,19.2,0,NORMAL,242
153,18,0,243.4,18.7,-8,0,NORMAL,216
190,18,0,215.8,18,-27.6,-0.7,NORMAL,246
240,18,0,235.2,18,19.4,0,NORMAL,233
186,18,0,204,18,-31.2,0,NORMAL,105
175,18,0,188.8,18,-15.2,0,NORMAL,265
276,18,0,213.4,18,24.6,0,NORMAL,213
265,18,0,228.4,18,15,0,NORMAL,102
137,18,0,207.8,18,-20.6,0,NORMAL,241
337,18,0,238,18,30.2,0,NORMAL,201
319,18,0,266.8,18,28.8,0,NORMAL,234
417,18,0,295,18,28.2,0,NORMAL,229
289,18,0,299.8,18,4.8,0,NORMAL,175
305,18,0,333.4,18,33.6,0,NORMAL,180
332,18,0,332.4,18,-1,0,NORMAL,165
298,18,0,328.2,18,-4.2,0,NORMAL,180
215,18,0,287.8,18,-40.4,0,NORMAL,260
162,18,0,262.4,18,-25.4,0,NORMAL,258
247,18,0,250.8,18,-11.6,0,NORMAL,264
321,18,0,248.6,18,-2.2,0,NORMAL,294
356,18,0,260.2,18,11.6,0,NORMAL,106
209,18,0,259,18,-1.2,0,NORMAL,179
137,18,0,254,18,-5,0,NORMAL,197
133,18,0,231.2,18,-22.8,0,NORMAL,185
125,18,0,192,18,-39.2,0,NORMAL,188
240,18,0,168.8,18,-23.2,0,NORMAL,214
243,18,0,175.6,18,6.8,0,NORMAL,174
200,18,0,188.2,18,12.6,0,NORMAL,187
183,18,0,198.2,18,10,0,NORMAL,232
319,18,0,237,18,38.8,0,NORMAL,243
219,18,0,232.8,18,-4.2,0,NORMAL,225
283,18,0,240.8,18,8,0,NORMAL,293
366,18,0,274,18,33.2,0,NORMAL,172
211,18,0,279.6,18,5.6,0,NORMAL,214
184,18,0,252.6,18,-27,0,NORMAL,265
317,18,0,272.2,18,19.6,0,NORMAL,112
277,18,0,271,18,-1.2,0,NORMAL,264
202,18,0,238.2,18,-32.8,0,NORMAL,272
248,18,0,245.6,18,7.4,0,NORMAL,172
243,18,0,257.4,18,11.8,0,NORMAL,272
334,18,0,260.8,18,3.4,0,NORMAL,245
217,18,0,248.8,18,-12,0,NORMAL,199
395,18,0,287.4,18,38.6,0,NORMAL,103
310,18,0,299.8,18,12.4,0,NORMAL,273
212,18,0,293.6,18,-6.2,0,NORMAL,274
140,18,0,254.8,18,-38.8,0,NORMAL,120
266,19,0,264.6,18.2,9.8,0.2,NORMAL,167
149,18,0,215.4,18.2,-49.2,0,NORMAL,237
171,18,0,187.6,18.2,-27.8,0,NORMAL,269
233,18,0,191.8,18.2,4.2,0,NORMAL,176
349,18,0,233.6,18.2,41.8,0,NORMAL,109
369,18,0,254.2,18,20.6,-0.2,NORMAL,135
160,18.4,0,256.4,18.1,2.2,0.08,NORMAL,110
357,20.6,0,293.6,18.6,37.2,0.52,NORMAL,219
142,18,0,275.4,18.6,-18.2,0,NORMAL,287
295,20.3,0,264.6,19.1,-10.8,0.46,NORMAL,179
343,18,0,259.4,19.1,-5.2,0,NORMAL,205
344,20.1,0,296.2,19.4,36.8,0.34,NORMAL,179
187,18,0,262.2,18.9,-34,-0.52,NORMAL,214
320,18,0,297.8,18.9,35.6,0,NORMAL,253
126,18,0,264,18.4,-33.8,-0.46,NORMAL,108
232,23.8,0,241.8,19.6,-22.2,1.16,NORMAL,105
219,18,0,216.8,19.2,-25,-0.42,NORMAL,192
210,18,0,221.4,19.2,4.6,0,NORMAL,213
144,18,0,186.2,19.2,-35.2,0,NORMAL,132
301,18,0,221.2,19.2,35,0,NORMAL,164
228,18,0,220.4,18,-0.8,-1.16,NORMAL,263
305,18,0,237.6,18,17.2,0,NORMAL,270
222,18,0,240,18,2.4,0,NORMAL,269
192,18,0,249.6,18,9.6,0,NORMAL,245
363,18,0,262,18,12.4,0,NORMAL,300
140,18,0,244.4,18,-17.6,0,NORMAL,134
298,18,0,243,18,-1.4,0,NORMAL,145
292,18,0,257,18,14,0,NORMAL,210
193,18,0,257.2,18,0.2,0,NORMAL,151
152,18,0,215,18,-42.2,0,NORMAL,123
133,18,0,213.6,18,-1.4,0,NORMAL,190
328,18,0,219.6,18,6,0,NORMAL,228
408,18,0,242.8,18,23.2,0,NORMAL,150
155,18,0,235.2,18,-7.6,0,NORMAL,218
101,18,0,225,18,-10.2,0,NORMAL,296
159,18,0,230.2,18,5.2,0,NORMAL,233
166,18,0,197.8,18,-32.4,0,NORMAL,165
320,18,0,180.2,18,-17.6,0,NORMAL,180
345,18,0,218.2,18,38,0,NORMAL,227
119,18,0,221.8,18,3.6,0,NORMAL,238
285,18,0,247,18,25.2,0,NORMAL,295
141,18,0,242,18,-5,0,NORMAL,245
170,18,0,212,18,-30,0,NORMAL,196
265,18,0,196,18,-16,0,NORMAL,218
247,18,0,221.6,18,25.6,0,NORMAL,231
302,18,0,225,18,3.4,0,NORMAL,115
119,18,0,220.6,18,-4.4,0,NORMAL,120
150,18,0,216.6,18,-4,0,NORMAL,181
194,18,0,202.4,18,-14.2,0,NORMAL,227
200,18,0,193,18,-9.4,0,NORMAL,126
376,18,0,207.8,18,14.8,0,NORMAL,282
321,18,0,248.2,18,40.4,0,NORMAL,229
218,18,0,261.8,18,13.6,0,NORMAL,109
352,18,0,293.4,18,31.6,0,NORMAL,249
245,18,0,302.4,18,9,0,NORMAL,257
250,18,0,277.2,18,-25.2,0,NORMAL,199
226,18,0,258.2,18,-19,0,NORMAL,150
146,18,0,243.8,18,-14.4,0,NORMAL,174
337,18,0,240.8,18,-3,0,NORMAL,149
106,18,0,213,18,-27.8,0,NORMAL,124
169,18,0,196.8,18,-16.2,0,NORMAL,126
173,18,0,186.2,18,-10.6,0,NORMAL,233
173,18,0,191.6,18,5.4,0,NORMAL,224
137,18,0,151.6,18,-40,0,NORMAL,103
99,18,0,150.2,18,-1.4,0,NORMAL,224
301,18,0,176.6,18,26.4,0,NORMAL,230
353,18,0,212.6,18,36,0,NORMAL,165
131,18,0,204.2,18,-8.4,0,NORMAL,156
207,18,0,218.2,18,14,0,NORMAL,157
229,18,0,244.2,18,26,0,NORMAL,233
313,18,0,246.6,18,2.4,0,NORMAL,250
306,18,0,237.2,18,-9.4,0,NORMAL,263
292,18,0,269.4,18,32.2,0,NORMAL,286
250,18,0,278,18,8.6,0,NORMAL,126
220,18,0,276.2,18,-1.8,0,NORMAL,193
189,18,0,251.4,18,-24.8,0,NORMAL,236
327,18,0,255.6,18,4.2,0,NORMAL,205
288,18,0,254.8,18,-0.8,0,NORMAL,179
136,18,0,232,18,-22.8,0,NORMAL,172
281,18,0,244.2,18,12.2,0,NORMAL,267
177,18,0,241.8,18,-2.4,0,NORMAL,113
296,18,0,235.6,18,-6.2,0,NORMAL,128
273,18,0,232.6,18,-3,0,NORMAL,191
158,18,0,237,18,4.4,0,NORMAL,177
262,18,0,233.2,18,-3.8,0,NORMAL,126
180,18,0,233.8,18,0.6,0,NORMAL,277
292,18,0,233,18,-0.8,0,NORMAL,258
321,18,0,242.6,18,9.6,0,NORMAL,209
157,18,0,242.4,18,-0.2,0,NORMAL,229
200,18,0,230,18,-12.4,0,NORMAL,170
357,18,0,265.4,18,35.4,0,NORMAL,121
166,18,0,240.2,18,-25.2,0,NORMAL,263
138,18,0,203.6,18,-36.6,0,NORMAL,104
223,18,0,216.8,18,13.2,0,NORMAL,241
259,18,0,228.6,18,11.8,0,NORMAL,139
295,18,0,216.2,18,-12.4,0,NORMAL,167
200,18,0,223,18,6.8,0,NORMAL,205
321,18,0,259.6,18,36.6,0,NORMAL,257
238,18,0,262.6,18,3,0,NORMAL,269
173,18,0,245.4,18,-17.2,0,NORMAL,297
367,18,0,259.8,18,14.4,0,NORMAL,257
364,18,0,292.6,18,32.8,0,NORMAL,252
260,18,0,280.4,18,-12.2,0,NORMAL,137
109,18,0,254.6,18,-25.8,0,NORMAL,119
208,18,0,261.6,18,7,0,NORMAL,281
217,18,0,231.6,18,-30,0,NORMAL,231
183,18,0,195.4,18,-36.2,0,NORMAL,111
263,18,0,196,18,0.6,0,NORMAL,185
305,18,0,235.2,18,39.2,0,NORMAL,193
177,18,0,229,18,-6.2,0,NORMAL,261
318,18,0,249.2,18,20.2,0,NORMAL,129
153,18,0,243.2,18,-6,0,NORMAL,159
293,18,0,249.2,18,6,0,NORMAL,217
217,18,0,231.6,18,-17.6,0,NORMAL,182
125,18,0,221.2,18,-10.4,0,NORMAL,125
383,18,0,234.2,18,13,0,NORMAL,100
167,18,0,237,18,2.8,0,NORMAL,215
277,18,0,233.8,18,-3.2,0,NORMAL,229
186,18,0,227.6,18,-6.2,0,NORMAL,199
319,18,0,266.4,18,38.8,0,NORMAL,188
312,18,0,252.2,18,-14.2,0,NORMAL,106
307,18,0,280.2,18,28,0,NORMAL,219
172,18,0,259.2,18,-21,0,NORMAL,208
189,18,0,259.8,18,0.6,0,NORMAL,129
251,18,0,246.2,18,-13.6,0,NORMAL,245
318,18,0,247.4,18,1.2,0,NORMAL,157
325,18,0,251,18,3.6,0,NORMAL,217
127,18,0,242,18,-9,0,NORMAL,129
