t_ms,gas_raw,temp_c,flame,gas_avg,temp_avg,dGas,dTemp,ml_state,final_state,alarm,suppression,label,label_name
150000,134,29.4,0,223.4,23,-44,1.68,0,0,0,0,0,NORMAL
151000,305,32.8,0,214.2,25.5,-9.2,2.46,0,0,0,0,0,NORMAL
152000,185,21,0,219.8,24,5.6,-1.46,0,0,0,0,0,NORMAL
153000,340,18,0,256,23.8,36.2,-0.16,0,0,0,0,0,NORMAL
154000,212,21.5,0,235.2,24.5,-20.8,0.7,0,0,0,0,0,NORMAL
155000,248,22,0,258,23.1,22.8,-1.48,0,0,0,0,0,NORMAL
156000,271,21.7,0,251.2,20.8,-6.8,-2.22,0,0,0,0,0,NORMAL
157000,145,18.4,0,243.2,20.3,-8,-0.52,0,0,0,0,0,NORMAL
158000,266,25.2,0,228.4,21.8,-14.8,1.44,0,0,0,0,0,NORMAL
159000,229,24.9,0,231.8,22.4,3.4,0.68,0,0,0,0,0,NORMAL
160000,319,18,0,246,21.6,14.2,-0.8,0,0,0,0,0,NORMAL
161000,357,25.2,0,263.2,22.3,17.2,0.7,0,0,0,0,0,NORMAL
162000,259,29.7,0,286,24.6,22.8,2.26,0,0,0,0,0,NORMAL
163000,198,22.4,0,272.4,24,-13.6,-0.56,0,0,0,0,0,NORMAL
164000,245,19.8,0,275.6,23,3.2,-1.02,0,0,0,0,0,NORMAL
165000,216,20.6,0,255,23.5,-20.6,0.52,0,0,0,0,0,NORMAL
166000,347,23.5,0,253,23.2,-2,-0.34,0,0,0,0,0,NORMAL
167000,186,18,0,238.4,20.9,-14.6,-2.34,0,0,0,0,0,NORMAL
168000,165,22.1,0,231.8,20.8,-6.6,-0.06,0,0,0,0,0,NORMAL
169000,247,19.6,0,232.2,20.8,0.4,-0.04,0,0,0,0,0,NORMAL
170000,103,28.4,0,209.6,22.3,-22.6,1.56,0,0,0,0,0,NORMAL
171000,107,20.8,0,161.6,21.8,-48,-0.54,0,0,0,0,0,NORMAL
172000,166,28.4,0,157.6,23.9,-4,2.08,0,0,0,0,0,NORMAL
173000,288,18,0,182.2,23,24.6,-0.82,0,0,0,0,0,NORMAL
174000,292,23.8,0,191.2,23.9,9,0.84,0,0,0,0,0,NORMAL
175000,275,22.1,0,225.6,22.6,34.4,-1.26,0,0,0,0,0,NORMAL
176000,235,18,0,251.2,22.1,25.6,-0.56,0,0,0,0,0,NORMAL
177000,272,21,0,272.4,20.6,21.2,-1.48,0,0,0,0,0,NORMAL
178000,154,25.4,0,245.6,22.1,-26.8,1.48,0,0,0,0,0,NORMAL
179000,344,19.4,0,256,21.2,10.4,-0.88,0,0,0,0,0,NORMAL
180000,219,18,0,244.8,20.4,-11.2,-0.82,0,0,0,0,0,NORMAL
181000,330,21.1,0,263.8,21,19,0.62,0,0,0,0,0,NORMAL
182000,149,18,0,239.2,20.4,-24.6,-0.6,0,0,0,0,0,NORMAL
183000,210,20.5,0,250.4,19.4,11.2,-0.98,0,0,0,0,0,NORMAL
184000,278,22,0,237.2,19.9,-13.2,0.52,0,0,0,0,0,NORMAL
185000,240,18,0,241.4,19.9,4.2,0,0,0,0,0,0,NORMAL
186000,219,18,0,219.2,19.3,-22.2,-0.62,0,0,0,0,0,NORMAL
187000,153,24.1,0,220,20.5,0.8,1.22,0,0,0,0,0,NORMAL
188000,210,20.1,0,220,20.4,0,-0.08,0,0,0,0,0,NORMAL
189000,163,18,0,197,19.6,-23,-0.8,0,0,0,0,0,NORMAL
190000,205,25.1,0,190,21.1,-7,1.42,0,0,0,0,0,NORMAL
191000,312,22.4,0,208.6,21.9,18.6,0.88,0,0,0,0,0,NORMAL
192000,261,18.5,0,230.2,20.8,21.6,-1.12,0,0,0,0,0,NORMAL
193000,274,18,0,243,20.4,12.8,-0.42,0,0,0,0,0,NORMAL
194000,201,24.8,0,250.6,21.8,7.6,1.36,0,0,0,0,0,NORMAL
195000,357,22.2,0,281,21.2,30.4,-0.58,0,0,0,0,0,NORMAL
196000,172,30.7,0,253,22.8,-28,1.66,0,0,0,0,0,NORMAL
197000,212,23,0,243.2,23.7,-9.8,0.9,0,0,0,0,0,NORMAL
198000,112,22.6,0,210.8,24.7,-32.4,0.92,0,0,0,0,0,NORMAL
199000,210,20.3,0,212.6,23.8,1.8,-0.9,0,0,0,0,0,NORMAL
200000,374,23.6,0,216,24,3.4,0.28,0,0,0,0,0,NORMAL
201000,202,22.4,0,222,22.4,6,-1.66,0,0,0,0,0,NORMAL
202000,357,24.7,0,251,22.7,29,0.34,0,0,0,0,0,NORMAL
203000,224,18.1,0,273.4,21.8,22.4,-0.9,0,0,0,0,0,NORMAL
204000,257,18.2,0,282.8,21.4,9.4,-0.42,0,0,0,0,0,NORMAL
205000,231,18.3,0,254.2,20.3,-28.6,-1.06,0,0,0,0,0,NORMAL
206000,147,23.1,0,243.2,20.5,-11,0.14,0,0,0,0,0,NORMAL
207000,298,26.1,0,231.4,20.8,-11.8,0.28,0,0,0,0,0,NORMAL
208000,377,18.2,0,262,20.8,30.6,0.02,0,0,0,0,0,NORMAL
209000,144,18.7,0,239.4,20.9,-22.6,0.1,0,0,0,0,0,NORMAL
210000,280,21.4,0,249.2,21.5,9.8,0.62,0,0,0,0,0,NORMAL
211000,161,18.5,0,252,20.6,2.8,-0.92,0,0,0,0,0,NORMAL
212000,290,22.8,0,250.4,19.9,-1.6,-0.66,0,0,0,0,0,NORMAL
213000,301,18,0,235.2,19.9,-15.2,-0.04,0,0,0,0,0,NORMAL
214000,254,18,0,257.2,19.7,22,-0.14,0,0,0,0,0,NORMAL
215000,315,18,0,264.2,19.1,7,-0.68,0,0,0,0,0,NORMAL
216000,330,18,0,298,19,33.8,-0.1,0,0,0,0,0,NORMAL
217000,277,18,0,295.4,18,-2.6,-0.96,0,0,0,0,0,NORMAL
218000,286,18,0,292.4,18,-3,0,0,0,0,0,0,NORMAL
219000,209,18,0,283.4,18,-9,0,0,0,0,0,0,NORMAL
220000,353,22.6,0,291,18.9,7.6,0.92,0,0,0,0,0,NORMAL
221000,127,18,0,250.4,18.9,-40.6,0,0,0,0,0,0,NORMAL
222000,245,18,0,244,18.9,-6.4,0,0,0,0,0,0,NORMAL
223000,311,18,0,249,18.9,5,0,0,0,0,0,0,NORMAL
224000,172,21.3,0,241.6,19.6,-7.4,0.66,0,0,0,0,0,NORMAL
225000,289,18,0,228.8,18.7,-12.8,-0.92,0,0,0,0,0,NORMAL
226000,201,18,0,243.6,18.7,14.8,0,0,0,0,0,0,NORMAL
227000,256,20.1,0,245.8,19.1,2.2,0.42,0,0,0,0,0,NORMAL
228000,265,18,0,236.6,19.1,-9.2,0,0,0,0,0,0,NORMAL
229000,248,20.8,0,251.8,19,15.2,-0.1,0,0,0,0,0,NORMAL
230000,160,18,0,226,19,-25.8,0,0,0,0,0,0,NORMAL
231000,245,19.8,0,234.8,19.3,8.8,0.36,0,0,0,0,0,NORMAL
232000,323,18,0,248.2,18.9,13.4,-0.42,0,0,0,0,0,NORMAL
233000,101,18,0,215.4,18.9,-32.8,0,0,0,0,0,0,NORMAL
234000,299,18,0,225.6,18.4,10.2,-0.56,0,0,0,0,0,NORMAL
235000,239,18,0,241.4,18.4,15.8,0,0,0,0,0,0,NORMAL
236000,294,18,0,251.2,18,9.8,-0.36,0,0,0,0,0,NORMAL
237000,282,19.2,0,243,18.2,-8.2,0.24,0,0,0,0,0,NORMAL
238000,243,18,0,271.4,18.2,28.4,0,0,0,0,0,0,NORMAL
239000,172,18,0,246,18.2,-25.4,0,0,0,0,0,0,NORMAL
240000,273,18,0,252.8,18.2,6.8,0,0,0,0,0,0,NORMAL
241000,178,20.5,0,229.6,18.7,-23.2,0.5,0,0,0,0,0,NORMAL
242000,225,18,0,218.2,18.5,-11.4,-0.24,0,0,0,0,0,NORMAL
243000,145,18,0,198.6,18.5,-19.6,0,0,0,0,0,0,NORMAL
244000,263,18,0,216.8,18.5,18.2,0,0,0,0,0,0,NORMAL
245000,262,22.8,0,214.6,19.5,-2.2,0.96,0,0,0,0,0,NORMAL
246000,121,18,0,203.2,19,-11.4,-0.5,0,0,0,0,0,NORMAL
247000,297,19.5,0,217.6,19.3,14.4,0.3,0,0,0,0,0,NORMAL
248000,255,18,0,239.6,19.3,22,0,0,0,0,0,0,NORMAL
249000,282,18,0,243.4,19.3,3.8,0,0,0,0,0,0,NORMAL
250000,105,18.2,0,212,18.3,-31.4,-0.92,0,0,0,0,0,NORMAL
251000,136,18,0,215,18.3,3,0,0,0,0,0,0,NORMAL
252000,272,18.5,0,210,18.1,-5,-0.2,0,0,0,0,0,NORMAL
253000,155,18,0,190,18.1,-20,0,0,0,0,0,0,NORMAL
254000,198,18,0,173.2,18.1,-16.8,0,0,0,0,0,0,NORMAL
255000,269,18,0,206,18.1,32.8,-0.04,0,0,0,0,0,NORMAL
256000,135,18.5,0,205.8,18.2,-0.2,0.1,0,0,0,0,0,NORMAL
257000,277,18.5,0,206.8,18.2,1,0,0,0,0,0,0,NORMAL
258000,193,18,0,214.4,18.2,7.6,0,0,0,0,0,0,NORMAL
259000,189,18,0,212.6,18.2,-1.8,0,0,0,0,0,0,NORMAL
260000,243,18.9,0,207.4,18.4,-5.2,0.18,0,0,0,0,0,NORMAL
261000,322,20.2,0,244.8,18.7,37.4,0.34,0,0,0,0,0,NORMAL
262000,143,18,0,218,18.6,-26.8,-0.1,0,0,0,0,0,NORMAL
263000,155,18,0,210.4,18.6,-7.6,0,0,0,0,0,0,NORMAL
264000,362,18,0,245,18.6,34.6,0,0,0,0,0,0,NORMAL
265000,380,18.8,0,272.4,18.6,27.4,-0.02,0,0,0,0,0,NORMAL
266000,279,22,0,263.8,19,-8.6,0.36,0,0,0,0,0,NORMAL
267000,217,18,0,278.6,19,14.8,0,0,0,0,0,0,NORMAL
268000,199,18,0,287.4,19,8.8,0,0,0,0,0,0,NORMAL
269000,280,18,0,271,19,-16.4,0,0,0,0,0,0,NORMAL
270000,268,18,0,248.6,18.8,-22.4,-0.16,0,0,0,0,0,NORMAL
271000,182,18,0,229.2,18,-19.4,-0.8,0,0,0,0,0,NORMAL
272000,92,18,0,204.2,18,-25,0,0,0,0,0,0,NORMAL
273000,158,22.3,0,196,18.9,-8.2,0.86,0,0,0,0,0,NORMAL
274000,371,21.7,0,214.2,19.6,18.2,0.74,0,0,0,0,0,NORMAL
275000,196,19.3,0,199.8,19.9,-14.4,0.26,0,0,0,0,0,NORMAL
276000,247,18,0,212.8,19.9,13,0,0,0,0,0,0,NORMAL
277000,238,19.8,0,242,20.2,29.2,0.36,0,0,0,0,0,NORMAL
278000,322,18.5,0,274.8,19.5,32.8,-0.76,0,0,0,0,0,NORMAL
279000,152,18,0,231,18.7,-43.8,-0.74,0,0,0,0,0,NORMAL
280000,125,20.5,0,216.8,19,-14.2,0.24,0,0,0,0,0,NORMAL
281000,153,18,0,198,19,-18.8,0,0,0,0,0,0,NORMAL
282000,225,18,0,195.4,18.6,-2.6,-0.36,0,0,0,0,0,NORMAL
283000,298,18,0,190.6,18.5,-4.8,-0.1,0,0,0,0,0,NORMAL
284000,226,18,0,205.4,18.5,14.8,0,0,0,0,0,0,NORMAL
285000,211,18,0,222.6,18,17.2,-0.5,0,0,0,0,0,NORMAL
286000,308,18,0,253.6,18,31,0,0,0,0,0,0,NORMAL
287000,193,18,0,247.2,18,-6.4,0,0,0,0,0,0,NORMAL
288000,273,18,0,242.2,18,-5,0,0,0,0,0,0,NORMAL
289000,265,21.4,0,250,18.7,7.8,0.68,0,0,0,0,0,NORMAL
290000,252,21.4,0,258.2,19.4,8.2,0.68,0,0,0,0,0,NORMAL
291000,324,19.9,0,261.4,19.7,3.2,0.38,0,0,0,0,0,NORMAL
292000,179,18,0,258.6,19.7,-2.8,0,0,0,0,0,0,NORMAL
293000,344,20.1,0,272.8,20.2,14.2,0.42,0,0,0,0,0,NORMAL
294000,190,18,0,257.8,19.5,-15,-0.68,0,0,0,0,0,NORMAL
295000,302,18,0,267.8,18.8,10,-0.68,0,0,0,0,0,NORMAL
296000,255,18,0,254,18.4,-13.8,-0.38,0,0,0,0,0,NORMAL
297000,313,18,0,280.8,18.4,26.8,0,0,0,0,0,0,NORMAL
298000,234,18,0,258.8,18,-22,-0.42,0,0,0,0,0,NORMAL
299000,167,18,0,254.2,18,-4.6,0,0,0,0,0,0,NORMAL
300000,155,18,0,224.8,18,-29.4,0,0,0,0,0,0,NORMAL
301000,193,18,0,212.4,18,-12.4,0,0,0,0,0,0,NORMAL
302000,328,21.5,0,215.4,18.7,3,0.7,0,0,0,0,0,NORMAL
303000,143,18,0,197.2,18.7,-18.2,0,0,0,0,0,0,NORMAL
304000,342,18,0,232.2,18.7,35,0,0,0,0,0,0,NORMAL
305000,251,18,0,251.4,18.7,19.2,0,0,0,0,0,0,NORMAL
306000,153,18,0,243.4,18.7,-8,0,0,0,0,0,0,NORMAL
307000,190,18,0,215.8,18,-27.6,-0.7,0,0,0,0,0,NORMAL
308000,240,18,0,235.2,18,19.4,0,0,0,0,0,0,NORMAL
309000,186,18,0,204,18,-31.2,0,0,0,0,0,0,NORMAL
310000,175,18,0,188.8,18,-15.2,0,0,0,0,0,0,NORMAL
311000,276,18,0,213.4,18,24.6,0,0,0,0,0,0,NORMAL
312000,265,18,0,228.4,18,15,0,0,0,0,0,0,NORMAL
313000,137,18,0,207.8,18,-20.6,0,0,0,0,0,0,NORMAL
314000,337,18,0,238,18,30.2,0,0,0,0,0,0,NORMAL
315000,319,18,0,266.8,18,28.8,0,0,0,0,0,0,NORMAL
316000,417,18,0,295,18,28.2,0,0,0,0,0,0,NORMAL
317000,289,18,0,299.8,18,4.8,0,0,0,0,0,0,NORMAL
318000,305,18,0,333.4,18,33.6,0,0,0,0,0,0,NORMAL
319000,332,18,0,332.4,18,-1,0,0,0,0,0,0,NORMAL
320000,298,18,0,328.2,18,-4.2,0,0,0,0,0,0,NORMAL
321000,215,18,0,287.8,18,-40.4,0,0,0,0,0,0,NORMAL
322000,162,18,0,262.4,18,-25.4,0,0,0,0,0,0,NORMAL
323000,247,18,0,250.8,18,-11.6,0,0,0,0,0,0,NORMAL
324000,321,18,0,248.6,18,-2.2,0,0,0,0,0,0,NORMAL
325000,356,18,0,260.2,18,11.6,0,0,0,0,0,0,NORMAL
326000,209,18,0,259,18,-1.2,0,0,0,0,0,0,NORMAL
327000,137,18,0,254,18,-5,0,0,0,0,0,0,NORMAL
328000,133,18,0,231.2,18,-22.8,0,0,0,0,0,0,NORMAL
329000,125,18,0,192,18,-39.2,0,0,0,0,0,0,NORMAL
330000,240,18,0,168.8,18,-23.2,0,0,0,0,0,0,NORMAL
331000,243,18,0,175.6,18,6.8,0,0,0,0,0,0,NORMAL
332000,200,18,0,188.2,18,12.6,0,0,0,0,0,0,NORMAL
333000,183,18,0,198.2,18,10,0,0,0,0,0,0,NORMAL
334000,319,18,0,237,18,38.8,0,0,0,0,0,0,NORMAL
335000,219,18,0,232.8,18,-4.2,0,0,0,0,0,0,NORMAL
